,AudioKit,Hystrix,Leaflet,OptiKey,PhysicsJS,animate.css,bdb,beets,brackets,caffe,calcuta,cpython,earthdata-search,emcee,exo,fsharp,gimp,hospitalrun-frontend,iina,jenkins,osquery,pybuilder,scikitlearn,shellcheck,soundnode-app,spacemacs,standard,uws
ApproximationTreeMap,0.9763417615414862,0.9842359423035008,0.9290182562668319,0.9741161088546676,0.9145325209250957,0.9861677711673213,0.9855775526907073,0.9762606337809749,0.9885339159815336,0.9825350986866423,0.9626364369839718,0.9683344269693925,0.9738634744193485,0.9841550509506347,0.9680754675843352,0.975653061591473,0.9742067415844718,0.9366387165444962,0.9685432851651588,0.9840218428112105,0.9657172102898627,0.9862549093079638,0.9640189704028045,0.9867562199679164,0.9641068977260678,0.9607134421437757,0.9583638398022698,0.988033462073474
git,0.9899668798943121,0.9932743661341366,0.9670170602726126,0.9871849745668235,0.9675388076606531,0.9951039985598988,0.9931137005525987,0.9935912253454339,0.9962236340222487,0.9944975775816564,0.982925816399142,0.9932420601725794,0.9882662401194533,0.9867068807190847,0.99246005931663,0.9787924584053315,0.995073136245518,0.965196931144431,0.9929267693493123,0.9949672203043556,0.988531869085991,0.9954275019840885,0.9909332423205198,0.9916651063584885,0.9724988664669303,0.985672212947017,0.9702005589625762,0.9946240446837545
HilbertTreeMap,0.9737811030119183,0.9833309840983357,0.9394728133542825,0.9541681862615177,0.9086654436710396,0.978238099925489,0.9878341756631045,0.972279064749317,0.99326454220473,0.9876656587474827,0.9554662986625637,0.9737682890781771,0.9647449236583869,0.9776150360510232,0.980515031298827,0.9509974839646027,0.9838414409602263,0.9253931056913202,0.9707642626042512,0.9845395294722883,0.9681063000273675,0.9841004661855709,0.9751167841176895,0.9696329884507023,0.9411881590525402,0.9642574773870517,0.9303556182091406,0.982627255907674
IncrementalLayoutWithoutMoves,0.9884029935492632,0.9937848500107151,0.9656545892472923,0.9848549040759192,0.9619283308131686,0.9951947662676054,0.9919322697239966,0.9940415939372018,0.9962395269693236,0.9954535976108729,0.983842318487115,0.9929294495253734,0.9882099534983492,0.9890014383502768,0.9919397381177192,0.9824253404138844,0.9954450236573253,0.9645082014562201,0.9940291070392608,0.9951658319059732,0.9873044981151361,0.9957003342726622,0.9894673144138726,0.9930743681940147,0.9676712281189829,0.9854829336000483,0.9708950636703829,0.9952821577556966
IncrementalLayoutWithMoves,0.9894797963284875,0.997176963492669,0.9614768869526763,0.9846920745059146,0.9735089610743035,0.9951947662676054,0.9929133824178429,0.9931520970951571,0.9962800732484252,0.9942876920421736,0.9840143992868865,0.9916739059663005,0.9848225720922591,0.9839416978444417,0.9919018683538984,0.9690134674340509,0.9955691644437581,0.948512454756934,0.9930337485276144,0.9909977916747071,0.9866962620235842,0.9956402818119677,0.9877053236385107,0.9931020261796828,0.9664800566596823,0.9843132504750918,0.9687366549576717,0.9789671363689538
MooreTreeMap,0.9755726443655518,0.9854164192442221,0.9429136745421389,0.966865313806533,0.9412928439600448,0.9859550680139044,0.988825302986805,0.982992835858167,0.9929354407824569,0.9856618159184615,0.9657258221928746,0.9784646305892253,0.967115659877856,0.9796082552332573,0.9796477719035487,0.9527401078421984,0.9855335624613536,0.9293154680555447,0.9790696706049675,0.9874702465955791,0.9621190175579046,0.9871116561907883,0.9771872540366928,0.9634021152973307,0.9420011732673447,0.9678968685226067,0.9640487236362645,0.9857893082836957
nmac,0.9772528298004762,0.9885154630519051,0.9536911654067443,0.9844857748812553,0.9557911321192093,0.9932787870754823,0.9922467083351888,0.984557668674947,0.9887115257982769,0.9899968829763087,0.9743331171011109,0.9878584169182889,0.9830881794044375,0.9884707693960646,0.9815685434077805,0.9694454388053299,0.9868097939950026,0.9515698125385683,0.9818290741489332,0.9890366204988903,0.9819311409540964,0.9863400808327087,0.9799305755755187,0.9908733943890012,0.9309154588987653,0.9654419971159122,0.9714789815539872,0.9907680263404647
nmew,0.9788486284169071,0.9850616483980155,0.9394093585320304,0.9773135705845,0.9418440637840024,0.990943078639259,0.9805296283517773,0.9860665045035731,0.9876426051900602,0.9902327712848599,0.9634813117828355,0.9828344574996236,0.9832633178205775,0.9816211565309194,0.9748165409143892,0.9515522918914111,0.9788536950182117,0.947291082127342,0.9838633524344019,0.9917074966923904,0.9631917582268293,0.989416321325975,0.9743425351264157,0.9891705741035677,0.9445922924361607,0.9573239814451093,0.9557267894696141,0.9877153601206391
PivotByMiddle,0.9263753582681475,0.9785033306164924,0.9112493234886331,0.9678331453801823,0.9217356093485737,0.9867430768620052,0.9820257791795587,0.9608161502635927,0.9669818517250081,0.969737300730774,0.9541883779954385,0.9604036873337572,0.9726323534740031,0.9740861248452055,0.9560958744325513,0.9320055625090773,0.9592186426572766,0.905565402251846,0.9490862969426023,0.9751213843678161,0.9554478094857053,0.9506881570326691,0.9501762984809495,0.955235623515316,0.9611321513410254,0.9444366140448192,0.9397885127488577,0.9862804135253839
PivotBySplit,0.9733891716339683,0.9831291962567712,0.925759579784453,0.9711307444836822,0.9242001854864007,0.9836394949734422,0.9880809544513312,0.9739509048212528,0.9882809224961844,0.9782926902867474,0.9641839219774141,0.9690756751987767,0.9628970813490257,0.9735717853070595,0.9610514955725119,0.9651372781370329,0.9639797214166144,0.938079941667186,0.9662789410854802,0.9860324271871832,0.9626231663242759,0.9831884163104448,0.9635130095461261,0.9824878248059438,0.967673227570038,0.9555449834704833,0.9569621595821091,0.9821213625487846
PivotBySize,0.9477432176219458,0.9792231177766022,0.9222019402293298,0.9486604307906717,0.9212357029506946,0.9807017534820582,0.9831841309543448,0.9659303556618855,0.9745574277849525,0.9678447790217897,0.9530807624327602,0.9672469115435722,0.9741854269232735,0.9802980490942529,0.9590723119594248,0.9633381070267859,0.9672079279900402,0.9364248054500225,0.9656048480091214,0.9812502335533885,0.9569196636871364,0.969265850082396,0.9552533003228072,0.9776767857254625,0.9445235997528181,0.9538189541534393,0.9306715751310782,0.988295330235453
SliceAndDice,0.9888756057059015,0.9941196098779517,0.978959242887437,0.9892832708365458,0.9728611611174989,0.9954727369520682,0.994535594964473,0.995407617510146,0.9961057681043403,0.9959383726582893,0.9847693150294312,0.9933813761037183,0.9882601147309332,0.9900058452231116,0.992512144646275,0.9798738873335918,0.9957282289148839,0.970864518326191,0.9951918843383057,0.9962187191612696,0.9898342402363554,0.9974149369227121,0.9924714886899649,0.997492232426773,0.9636508351747078,0.984259167488717,0.9797542630209413,0.996515940244733
SpiralTreeMap,0.9775432264800393,0.9820655179492405,0.923331149134248,0.9373706696785115,0.9317377789561627,0.9828083873230964,0.9772524447580916,0.9643266293454162,0.990632766195326,0.9805426886669416,0.9555540242537854,0.9495728794326809,0.9658097806763404,0.9724715710716456,0.960395894934077,0.9581751552012241,0.9618710335366679,0.9167940307997008,0.9735897328627612,0.9755216355913442,0.96300280293272,0.9878417907611823,0.9693937988124331,0.9716496094325505,0.954134377232755,0.9581351731427722,0.9400619062566983,0.981402055529885
SquarifiedTreeMap,0.9588349209684747,0.9791720514364612,0.9114503987869835,0.9682738690762684,0.9036368458482874,0.9736057101603476,0.961477312207673,0.9622802402285219,0.9856551380976598,0.9729911804455631,0.8914361723568808,0.9601290533394875,0.9572393987581842,0.9709111877084419,0.958363201372375,0.9658985322903568,0.960014738488095,0.9015745140085607,0.9537115559137368,0.9662586219864727,0.9567428381003642,0.9775585162727188,0.9568285346755747,0.9778178612735859,0.9544782931583022,0.9394036535865797,0.9330578060936824,0.9792411808477616
StripTreeMap,0.9644846349165963,0.9822149063594791,0.9278900584788888,0.9664010682693326,0.9104797795178468,0.9749225825488097,0.968062509666073,0.9647698233605857,0.9897286928486277,0.978877513218454,0.9510390173130308,0.9688775658996048,0.972520363987153,0.9728910673890616,0.9691058227987723,0.9605281118094511,0.9653896633131497,0.9170893150002769,0.9540315323594983,0.9738605593512145,0.9704711103741804,0.9829029684487628,0.9661853831057299,0.9781594792670043,0.9550059081545806,0.9503673216174907,0.9361806121289823,0.9813031817052067
